Date Time	Días	Peso (Libras)
2022-09-22T11:25:00	0	140.1
2022-09-23T12:29:00	1	140.8
2022-09-24T18:33:00	2	140.2
2022-09-25T14:33:00	3	140.5
2022-09-26T12:31:00	4	140.7
2022-09-28T12:17:00	5	140.4
2022-09-29T13:26:00	6	140.8
2022-09-30T11:42:00	7	141.2
2022-10-01T11:15:00	8	141.1
2022-10-02T11:16:00	9	140.5
2022-10-05T12:48:00	10	141.0
2022-10-06T17:33:00	11	141.5
2022-10-07T17:46:00	12	141.3
2022-10-08T11:55:00	13	142.0
2022-10-09T17:30:00	14	141.9
2022-10-10T13:11:00	15	141.4
2022-10-11T11:48:00	16	141.1
2022-10-13T16:24:00	17	142.0
2022-10-14T18:23:00	18	140.9
2022-10-17T12:20:00	19	142.3
2022-10-18T18:27:00	20	141.9
2022-10-21T12:32:00	21	142.3
2022-10-22T18:17:00	22	142.3
2022-10-23T11:24:00	23	143.0
2022-10-24T11:59:00	24	141.5
2022-10-25T12:35:00	25	143.1
2022-10-27T12:39:00	26	143.3
2022-10-28T18:00:00	27	142.8
2022-10-29T18:36:00	28	142.4
2022-10-30T19:49:00	29	143.0
2022-11-01T18:54:00	30	143.3
2022-11-02T12:18:00	31	143.1
2022-11-03T18:40:00	32	141.8
2022-11-04T17:51:00	33	143.8
2022-11-05T19:08:00	34	142.7
2022-11-07T12:23:00	35	142.1
2022-11-08T12:01:00	36	143.3
2022-11-09T17:49:00	37	142.7
2022-11-10T12:05:00	38	143.4
2022-11-14T12:44:00	39	144.1
2022-11-15T12:54:00	40	143.6
2022-11-16T12:37:00	41	144.5
2022-11-17T11:04:00	42	144.2
2022-11-18T12:32:00	43	144.3
2022-11-19T12:45:00	44	144.4
2022-11-20T14:39:00	45	144.2
2022-11-21T18:11:00	46	144.6
2022-11-22T12:16:00	47	144.3
2022-11-23T12:48:00	48	143.6
2022-11-25T11:41:00	49	144.6
2022-11-26T18:34:00	50	144.6
2022-11-28T11:00:00	51	144.3
2022-11-29T11:03:00	52	144.5
2022-12-01T18:39:00	53	145.5
2022-12-02T11:31:00	54	145.1
2022-12-03T18:04:00	55	145.3
2022-12-04T17:14:00	56	145.3
2022-12-05T11:21:00	57	145.3
2022-12-06T12:52:00	58	145.7
2022-12-08T12:27:00	59	145.5
2022-12-09T17:55:00	60	145.8
2022-12-10T11:59:00	61	145.9
